EAN;Título;Autor;Editorial;Ejemplares;PVP;Precio liquidación;Valor total;Hecho
'9788411480758;GLOBAL (CÓMIC);"COLFER, EOIN;DONKIN, ANDREW";ALIANZA EDITORIAL;2;21,50;20,43;43,00;
'9788411486668;HAZ;"PLAZA, JOSÉ CARLOS;WESTENDORP, ROCÍO";ALIANZA EDITORIAL;2;21,50;20,43;43,00;
'9788420648477;ADRIANA MATER;MAALOUF, AMIN;ALIANZA EDITORIAL;2;21,50;20,43;43,00;
'9788420667171;FOTOGRAFÍA Y ESPÍRITU;HARVEY, JOHN;ALIANZA EDITORIAL;2;21,50;20,43;43,00;
'9788420684123;ESQUINAS INTELIGENTES;SÁNCHEZ  DE MADARIAGA, INÉS;ALIANZA EDITORIAL;2;21,50;20,43;43,00;
'9788420648385;OBRA POÉTICA COMPLETA;VALLEJO, CÉSAR;ALIANZA EDITORIAL;2;20,95;19,90;41,90;
'9788411484466;LOS DE BILBAO NACEN DOND;LARREA, MARÍA;ALIANZA EDITORIAL;2;19,95;18,95;39,90;
'9788491041900;YO SOY MALALA;"YOUSAFZAI, MALALA;LAMB, CHRISTINA";ALIANZA EDITORIAL;2;19,95;18,95;39,90;
'9788413627953;MÁS ALLÁ DEL DOLOR;GUINOT, JOSÉ LUIS;ALIANZA EDITORIAL;2;19,50;18,52;39,00;
'9788420652726;BUSCA TIEMPO PERDIDO, 1;PROUST, MARCEL;ALIANZA EDITORIAL;2;19,50;18,52;39,00;
'9788411483438;LA CARTA;GUERRA GARRIDO, RAÚL;ALIANZA EDITORIAL;2;18,95;18,00;37,90;
'9788411483919;YOGA ORGÁNICO;VÁZQUEZ DÍEZ, JOSÉ MANUEL;ALIANZA EDITORIAL;2;18,95;18,00;37,90;
'9788491812647;LA CASA DE LOS ÁNGELES R;URREA, LUIS ALBERTO;ALIANZA EDITORIAL;2;18,95;18,00;37,90;
'9788411486705;LOS MITOS GRIEGOS, 2;GRAVES, ROBERT;ALIANZA EDITORIAL;2;18,50;17,57;37,00;
'9788420652733;BUSCA TIEMPO PERDIDO, 2;PROUST, MARCEL;ALIANZA EDITORIAL;2;18,50;17,57;37,00;
'9788420652740;BUSCA TIEMPO PERDIDO, 3;PROUST, MARCEL;ALIANZA EDITORIAL;2;18,50;17,57;37,00;
'9788420674186;CUENTOS, 1 POE;POE, EDGAR ALLAN;ALIANZA EDITORIAL;2;18,50;17,57;37,00;
'9788420674193;CUENTOS, 2 POE;POE, EDGAR ALLAN;ALIANZA EDITORIAL;2;18,50;17,57;37,00;
'9788491043843;UN SILLÓN MIRA AL SENA;MAALOUF, AMIN;ALIANZA EDITORIAL;2;17,95;17,05;35,90;
'9788420643892;ANTOLOGÍA DE POESÍA PRIM;CARDENAL, ERNESTO;ALIANZA EDITORIAL;2;17,50;16,62;35,00;
'9788420670003;CARTAS A THÉO;VAN GOGH, VINCENT;ALIANZA EDITORIAL;2;17,50;16,62;35,00;
'9788491814832;TODAS SOMOS DESPLAZADAS;YOUSAFZAI, MALALA;ALIANZA EDITORIAL;2;16,95;16,10;33,90;
'9788491815518;1080 RECETAS DE COCINA;ORTEGA, SIMONE;ALIANZA EDITORIAL;2;16,95;16,10;33,90;
'9788411480765;LA NIÑA LECTORA;RIVAS, MANUEL;ALIANZA EDITORIAL;2;16,50;15,67;33,00;
'9788411483247;LA MUJER DE PIEDRA;ALI, TARIQ;ALIANZA EDITORIAL;2;16,50;15,67;33,00;
'9788411486897;CUANDO LLEGUE LA MAÑANA;MADRID, JUAN;ALIANZA EDITORIAL;2;15,50;14,72;31,00;
'9788413628875;LIBRO DEL DESASOSIEGO;PESSOA, FERNANDO;ALIANZA EDITORIAL;2;15,50;14,72;31,00;
'9788420609294;ORLANDO;WOOLF, VIRGINIA;ALIANZA EDITORIAL;2;15,50;14,72;31,00;
'9788420649771;ANTOLOGÍA POÉTICA;GUILLÉN, JORGE;ALIANZA EDITORIAL;2;15,50;14,72;31,00;
'9788420674292;EL LOBO ESTEPARIO;HESSE, HERMANN;ALIANZA EDITORIAL;2;15,50;14,72;31,00;
'9788420691930;PAZ EN LA GUERRA;UNAMUNO, MIGUEL DE;ALIANZA EDITORIAL;2;15,50;14,72;31,00;
