EAN;Título;Autor;Editorial;Stk. Total;Stock eur;PVP
9788420462479;EL ASEDIO;ARTURO PÉREZ-REVERTE;ALFAGUARA;1;24,90;24,90
9788484506485;LA PIEL DEL TAMBOR;ARTURO PÉREZ-REVERTE;DEBOLSILLO;1;12,95;12,95
9788420479446;MISIÓN EN PARÍS;ARTURO PÉREZ-REVERTE;ALFAGUARA;1;21,90;21,90
9788420483535;LAS AVENTURAS DEL CAPITÁN ALATRISTE;ARTURO Y CARLOTA PÉREZ-;TUSQUETS EDITORES;1;8,00;8,00
9788491297222;LA PRIMERA MENTIRA GANA / FIRST LIE WIN;ASHLEY ELSTON;SUMA DE LETRAS;1;20,90;20,90
9788409688258;PALABRA EN ARCHIPIELAGO,LA;"ASIN,MANUEL;VAN DE STAAK,";COMISURA;1;22,00;22,00
9788498389494;LOS TESTAMENTOS;ATWOOD, MARGARET;SALAMANDRA;1;23,00;23,00
9788410138421;CATORCE DÍAS;"ATWOOD, MARGARET;PRESTON,";ADN EDITORIAL GRUPO ANAYA;2;43,90;21,95
9788420478906;EL HOMBRE SOLO;ATXAGA, BERNARDO;ALFAGUARA;1;17,90;17,90
9788418930485;ADULTOS 4ªED;AUBERT,MARIE;NÓRDICA LIBROS;1;19,50;19,50
9788430626953;MEDITACIONES;AURELIO, MARCO;TAURUS;1;22,90;22,90
9788420678405;EMMA;AUSTEN, JANE;ALIANZA EDITORIAL;2;27,90;13,95
9788410481060;EMMA;AUSTEN, JANE;LIBROS DE SEDA;3;66,75;22,25
9788491052777;PERSUASIÓN;AUSTEN, JANE;PENGUIN CLÁSICOS;1;12,95;12,95
9788433980762;MÚSICA DEL AZAR, LA;AUSTER, PAUL;EDITORIAL ANAGRAMA;1;20,90;20,90
9788433980779;LEVIATÁN;AUSTER, PAUL;EDITORIAL ANAGRAMA;1;21,90;21,90
9788410138520;MEJOR CERCA DEL AGUA;BABOT, PAULA;ADN EDITORIAL GRUPO ANAYA;2;39,90;19,95
9788437630083;FEMINISMO EN EL ISLAM;BADRAN, MARGOT;EDICIONES CÁTEDRA;1;28,50;28,50
9788419475701;COMO HACER CARAMELOS MAGICOS;BAEK, HEENA;EDITORIAL KÓKINOS;1;12,00;12,00
9788417742669;CARAMELOS MAGICOS;BAEK, HEENA;EDITORIAL KÓKINOS;1;16,00;16,00
9788437642451;LOS LIBROS DE LA GUERRA;"BAHAMONDE, ÁNGEL;RUIZ";EDICIONES CÁTEDRA;2;35,00;17,50
9788417932893;JOSE ELIAS. BILLIONAIRE 2ED;BAILON, VALEN;VANIR EDITORIAL;1;20,90;20,90
9788448856960;PEPPA PIG: VAMOS A JUAGAR SIN PANTALLAS CON PEPPA;"BAKER, MARK; ASTLEY, NEVILLE";ALTEA;1;9,95;9,95
9788417417444;BORRACHA MENOR;BALBUENA, SOFÍA;CABALLO DE TROYA;1;15,90;15,90
9781948517928;ANATOMÍA DE LOS REGÍMENES POSTCOMUNISTAS;BÁLINT MAGYAR Y BÁLINT;HYPERMEDIA EDICIONES;2;60,00;30,00
9788433927460;VOLUMEN DEL TIEMPO I, EL;BALLE, SOLVEJ;EDITORIAL ANAGRAMA;1;19,90;19,90
9788441548688;LEYENDAS FÚTBOL/ED.2024;BALLHEIMER, DAVID;ANAYA MULTIMEDIA;1;17,95;17,95
9788410138001;DONDE SE QUEMAN LOS HOMB;BALMASEDA, CARMEN CLARA;ADN EDITORIAL GRUPO ANAYA;1;21,50;21,50
